value,id
Africa-Eastern_Africa-British_Indian_Ocean_Territory,1000
Africa-Eastern_Africa-Burundi,10163000
Africa-Eastern_Africa-Comoros,724300
Africa-Eastern_Africa-Djibouti,864618
Africa-Eastern_Africa-Eritrea,6333000
Africa-Eastern_Africa-Ethiopia,86613986
Africa-Eastern_Africa-Kenya,44354000
Africa-Eastern_Africa-Madagascar,20696070
Africa-Eastern_Africa-Malawi,16363000
Africa-Eastern_Africa-Mauritius,1257900
Africa-Eastern_Africa-Mayotte,212600
Africa-Eastern_Africa-Mozambique,23700715
Africa-Eastern_Africa-Réunion,821136
Africa-Eastern_Africa-Rwanda,10537222
Africa-Eastern_Africa-Seychelles,90945
Africa-Eastern_Africa-Somalia,10496000
Africa-Eastern_Africa-Tanzania,44928923
Africa-Eastern_Africa-Uganda,35357000
Africa-Eastern_Africa-Zambia,13092666
Africa-Eastern_Africa-Zimbabwe,12973808
Africa-Middle_Africa-Angola,20609294
Africa-Middle_Africa-Cameroon,20386799
Africa-Middle_Africa-Central_African_Republic,4616000
Africa-Middle_Africa-Chad,12825000
Africa-Middle_Africa-Republic_of_the_Congo,4448000
Africa-Middle_Africa-Democratic_Republic_of_the_Congo,67514000
Africa-Middle_Africa-Equatorial_Guinea,1622000
Africa-Middle_Africa-Gabon,1672000
Africa-Middle_Africa-São_Tomé_and_Príncipe,187356
Africa-Middle_Africa-South_Sudan,11296000
Africa-Northern_Africa-Algeria,37900000
Africa-Northern_Africa-Egypt,83661000
Africa-Northern_Africa-Libya,6202000
Africa-Northern_Africa-Morocco,33087700
Africa-Northern_Africa-Sudan,37964000
Africa-Northern_Africa-Tunisia,10833431
Africa-Northern_Africa-Western_Sahara,567000
Africa-Southern_Africa-Botswana,2024904
Africa-Southern_Africa-Lesotho,2074000
Africa-Southern_Africa-Namibia,2113077
Africa-Southern_Africa-South_Africa,52981991
Africa-Southern_Africa-Swaziland,1250000
Africa-Western_Africa-Benin,10323000
Africa-Western_Africa-Burkina_Faso,17322796
Africa-Western_Africa-Cape_Verde,491875
Africa-Western_Africa-Côte_d'Ivoire,1000
Africa-Western_Africa-Gambia,1000
Africa-Western_Africa-Ghana,24658823
Africa-Western_Africa-Guinea,10824200
Africa-Western_Africa-Guinea-Bissau,1704000
Africa-Western_Africa-Liberia,4294000
Africa-Western_Africa-Mali,15302000
Africa-Western_Africa-Mauritania,3461041
Africa-Western_Africa-Niger,17129076
Africa-Western_Africa-Nigeria,173615000
Africa-Western_Africa-Saint_Helena,1000
Africa-Western_Africa-Senegal,13567338
Africa-Western_Africa-Sierra_Leone,6190280
Africa-Western_Africa-Togo,6191155
Americas-Caribbean-Anguilla,13452
Americas-Caribbean-Antigua_and_Barbuda,86295
Americas-Caribbean-Aruba,101484
Americas-Caribbean-Bahamas,1000
Americas-Caribbean-Barbados,274200
Americas-Caribbean-Bonaire,1000
Americas-Caribbean-British_Virgin_Islands,29537
Americas-Caribbean-Cayman_Islands,55456
Americas-Caribbean-Cuba,11167325
Americas-Caribbean-Curaçao,150563
Americas-Caribbean-Dominica,71293
Americas-Caribbean-Dominican_Republic,9445281
Americas-Caribbean-Grenada,103328
Americas-Caribbean-Guadeloupe,403355
Americas-Caribbean-Haiti,10413211
Americas-Caribbean-Jamaica,2711476
Americas-Caribbean-Martinique,394173
Americas-Caribbean-Montserrat,4922
Americas-Caribbean-Puerto_Rico,3667084
Americas-Caribbean-Saint_Barthélemy,8938
Americas-Caribbean-Saint_Kitts_and_Nevis,54000
Americas-Caribbean-Saint_Lucia,166526
Americas-Caribbean-Saint_Martin,1000
Americas-Caribbean-Saint_Vincent_and_the_Grenadines,109000
Americas-Caribbean-Sint_Maarten,37429
Americas-Caribbean-Trinidad_and_Tobago,1328019
Americas-Caribbean-Turks_and_Caicos_Islands,31458
Americas-Caribbean-United_States_Virgin_Islands,106405
Americas-Central_America-Belize,312971
Americas-Central_America-Costa_Rica,4667096
Americas-Central_America-El_Salvador,6340000
Americas-Central_America-Guatemala,15438384
Americas-Central_America-Honduras,8555072
Americas-Central_America-Mexico,118395054
Americas-Central_America-Nicaragua,6071045
Americas-Central_America-Panama,3405813
Americas-Northern_America-Bermuda,64237
Americas-Northern_America-Canada,35158304
Americas-Northern_America-Greenland,56370
Americas-Northern_America-Saint_Pierre_and_Miquelon,6081
Americas-Northern_America-United_States,317101000
Americas-Northern_America-United_States_Minor_Outlying_Islands,1000
Americas-South_America-Argentina,40117096
Americas-South_America-Bolivia,10027254
Americas-South_America-Brazil,201032714
Americas-South_America-Chile,16634603
Americas-South_America-Colombia,47330000
Americas-South_America-Ecuador,15617900
Americas-South_America-Falkland_Islands,2563
Americas-South_America-French_Guiana,229040
Americas-South_America-Guyana,784894
Americas-South_America-Paraguay,6783374
Americas-South_America-Peru,30475144
Americas-South_America-South_Georgia,1000
Americas-South_America-Suriname,534189
Americas-South_America-Uruguay,3286314
Americas-South_America-Venezuela,28946101
Asia-Central_Asia-Kazakhstan,17099000
Asia-Central_Asia-Kyrgyzstan,5551900
Asia-Central_Asia-Tajikistan,8000000
Asia-Central_Asia-Turkmenistan,5240000
Asia-Central_Asia-Uzbekistan,30183400
Asia-Eastern_Asia-China,1361170000
Asia-Eastern_Asia-Hong_Kong,7184000
Asia-Eastern_Asia-Japan,127290000
Asia-Eastern_Asia-Macau,1000
Asia-Eastern_Asia-Mongolia,2754685
Asia-Eastern_Asia-North_Korea,24895000
Asia-Eastern_Asia-South_Korea,50219669
Asia-Eastern_Asia-Taiwan,23361147
Asia-South_Eastern_Asia-Brunei,393162
Asia-South_Eastern_Asia-Cambodia,15135000
Asia-South_Eastern_Asia-Indonesia,237641326
Asia-South_Eastern_Asia-Laos,6580800
Asia-South_Eastern_Asia-Malaysia,29793600
Asia-South_Eastern_Asia-Myanmar,1000
Asia-South_Eastern_Asia-Philippines,98678000
Asia-South_Eastern_Asia-Singapore,5399200
Asia-South_Eastern_Asia-Thailand,65926261
Asia-South_Eastern_Asia-Timor-Leste,1000
Asia-South_Eastern_Asia-Vietnam,90388000
Asia-Southern_Asia-Afghanistan,25500100
Asia-Southern_Asia-Bangladesh,152518015
Asia-Southern_Asia-Bhutan,740990
Asia-Southern_Asia-India,1236670000
Asia-Southern_Asia-Iran,77068000
Asia-Southern_Asia-Maldives,317280
Asia-Southern_Asia-Nepal,26494504
Asia-Southern_Asia-Pakistan,184845000
Asia-Southern_Asia-Sri_Lanka,20277597
Asia-Western_Asia-Armenia,3024100
Asia-Western_Asia-Azerbaijan,9235100
Asia-Western_Asia-Bahrain,1234571
Asia-Western_Asia-Cyprus,865878
Asia-Western_Asia-Georgia,1000
Asia-Western_Asia-Iraq,34035000
Asia-Western_Asia-Israel,8092700
Asia-Western_Asia-Jordan,6512600
Asia-Western_Asia-Kuwait,3582054
Asia-Western_Asia-Lebanon,4822000
Asia-Western_Asia-Oman,3929000
Asia-Western_Asia-Palestine,1000
Asia-Western_Asia-Qatar,2024707
Asia-Western_Asia-Saudi_Arabia,29994272
Asia-Western_Asia-Syria,21898000
Asia-Western_Asia-Turkey,75627384
Asia-Western_Asia-United_Arab_Emirates,8264070
Asia-Western_Asia-Yemen,24527000
Europe-Eastern_Europe-Belarus,9465500
Europe-Eastern_Europe-Bulgaria,7282041
Europe-Eastern_Europe-Czech_Republic,10512900
Europe-Eastern_Europe-Hungary,9906000
Europe-Eastern_Europe-Moldova,3559500
Europe-Eastern_Europe-Poland,38533299
Europe-Eastern_Europe-Republic_of_Kosovo,1733842
Europe-Eastern_Europe-Romania,20121641
Europe-Eastern_Europe-Russia,143500000
Europe-Eastern_Europe-Slovakia,5412008
Europe-Eastern_Europe-Ukraine,45461627
Europe-Northern_Europe-Åland_Islands,28502
Europe-Northern_Europe-Denmark,5623501
Europe-Northern_Europe-Estonia,1286540
